,game_id,team_id,HoA,won,settled_in,head_coach,goals,shots,hits,pim,powerPlayOpportunities,powerPlayGoals,faceOffWinPercentage,giveaways,takeaways
0,2012030221,3,away,False,OT,John Tortorella,2,35,44,8,3,0,44.8,17,7
1,2012030221,6,home,True,OT,Claude Julien,3,48,51,6,4,1,55.2,4,5
2,2012030222,3,away,False,REG,John Tortorella,2,37,33,11,5,0,51.7,1,4
3,2012030222,6,home,True,REG,Claude Julien,5,32,36,19,1,0,48.3,16,6
4,2012030223,6,away,True,REG,Claude Julien,2,34,28,6,0,0,61.8,10,7
5,2012030223,3,home,False,REG,John Tortorella,1,24,37,2,2,0,38.2,7,9
6,2012030224,6,away,False,OT,Claude Julien,3,40,24,8,4,2,53.7,8,6
7,2012030224,3,home,True,OT,John Tortorella,4,32,40,8,4,1,46.3,9,7
8,2012030225,3,away,False,REG,John Tortorella,1,29,25,13,2,1,50.9,5,3
9,2012030225,6,home,True,REG,Claude Julien,3,32,35,11,3,1,49.1,12,9
10,2012030311,6,away,True,REG,Claude Julien,3,30,19,17,4,0,66.7,1,5
11,2012030311,5,home,False,REG,Dan Bylsma,0,29,34,28,4,0,33.3,8,9
12,2012030312,6,away,True,REG,Claude Julien,6,29,19,6,1,0,50.9,2,5
13,2012030312,5,home,False,REG,Dan Bylsma,1,27,37,4,2,0,49.1,12,5
14,2012030313,5,away,False,OT,Dan Bylsma,1,54,46,16,6,0,57.3,8,10
15,2012030313,6,home,True,OT,Claude Julien,2,40,34,18,5,0,42.7,10,13
16,2012030314,5,away,False,REG,Dan Bylsma,0,26,33,8,3,0,47.5,8,1
17,2012030314,6,home,True,REG,Claude Julien,1,24,25,8,3,0,52.5,11,5
18,2012030231,17,away,False,REG,Mike Babcock,1,21,43,10,3,0,52.5,6,4
19,2012030231,16,home,True,REG,Joel Quenneville,4,42,24,10,3,1,47.5,2,11
20,2012030232,17,away,True,REG,Mike Babcock,4,30,26,6,4,0,55.4,6,6
21,2012030232,16,home,False,REG,Joel Quenneville,1,20,36,10,2,0,44.6,7,9
22,2012030233,16,away,False,REG,Joel Quenneville,1,40,22,22,4,0,43.9,5,6
23,2012030233,17,home,True,REG,Mike Babcock,3,30,28,10,5,0,56.1,9,3
24,2012030234,16,away,False,REG,Joel Quenneville,0,28,22,10,3,0,48.3,8,4
25,2012030234,17,home,True,REG,Mike Babcock,2,27,30,10,3,1,51.7,10,8
26,2012030235,17,away,False,REG,Mike Babcock,1,26,25,10,4,0,50.8,5,3
27,2012030235,16,home,True,REG,Joel Quenneville,4,45,22,12,3,2,49.2,7,7
28,2012030236,16,away,True,REG,Joel Quenneville,4,28,16,10,5,1,39.0,3,5
29,2012030236,17,home,False,REG,Mike Babcock,3,38,29,12,3,0,61.0,12,4
30,2012030237,17,away,False,OT,Mike Babcock,1,27,38,10,2,0,52.5,6,6
31,2012030237,16,home,True,OT,Joel Quenneville,2,35,36,6,4,0,47.5,14,9
32,2012030121,9,away,True,REG,Paul MacLean,4,31,31,23,2,0,39.4,9,1
33,2012030121,8,home,False,REG,Michel Therrien,2,50,24,6,5,1,60.6,11,10
34,2012030122,9,away,False,REG,Paul MacLean,1,30,26,8,4,0,42.1,4,0
35,2012030122,8,home,True,REG,Michel Therrien,3,34,37,12,2,0,57.9,7,6
36,2012030123,8,away,False,REG,Michel Therrien,1,34,44,129,6,1,47.7,13,8
37,2012030123,9,home,True,REG,Paul MacLean,6,30,47,107,11,3,52.3,8,6
38,2012030124,8,away,False,OT,Michel Therrien,2,28,46,6,1,0,44.3,6,3
39,2012030124,9,home,True,OT,Paul MacLean,3,34,61,2,3,0,55.7,12,5
